dir-name	container-name	image-id	real	sys	user
ubuntu-19-10-mysql-mysql_workbench	ubuntu-19-10-mysql-workbench:latest	28f8bd44101b	67m15.147s	0m0.748s	0m1.292s
ubuntu-19-10-keyboard-locale	ubuntu-19-10-keyboard-locale:latest	f0f6f4643e20	111m11.618s	0m0.307s	0m0.540s
centos-7-6-18-10-python-sqlite3-pycharm	centos-7-6-18-10-python-sqlite3-pycharm:latest	80a0ab30dbc1	14m49.362s	0m0.743s	0m0.624s
ubuntu-19-10-vim	ubuntu-19-10-vim:latest	8886da422723	58m12.597s	0m0.600s	0m0.919s
centos-7-6-18-10-nodejs-vim	centos-7-6-18-10-nodejs-vim:latest	4bb3a84bf1c4	12m15.057s	0m0.384s	0m0.467s
ubuntu-16-04-sqlserver-dbeaver	ubuntu-16-04-sqlserver-dbeaver:latest	aec4a6d4b4e5	65m22.536s	0m2.351s	0m2.515s
centos-7-6-18-10-nginx-vim	centos-7-6-18-10-nginx-vim:latest	12a6099f03bf	84m59.137s	0m0.570s	0m0.672s
centos-7-6-18-10-sqlite3-vim	centos-7-6-18-10-sqlite3-vim:latest	070f80f2f3b2	117m34.769s	0m0.627s	0m0.807s
centos-7-6-18-10-groonga-vim	centos-7-6-18-10-groonga-vim:latest	6b463aeba7e5	77m33.170s	0m0.217s	0m0.409s
centos-7-6-18-10-vim	centos-7-6-18-10-vim:latest	ab1b4e4c8665	9m45.389s	0m0.141s	0m0.188s
ubuntu-18-04-fcitx_mozc-vim	ubuntu-18-04-vim:latest	67e1cbab2c62	51m5.567s	0m0.498s	0m0.815s
ubuntu-19-10-java-apache_solr-vim	ubuntu-19-10-java-apache-solr-vim:latest	9bc90dbe3be0	17m32.783s	0m0.276s	0m0.392s
ubuntu-19-10-mysql-dbeaver	ubuntu-19-10-mysql-workbench:latest	28f8bd44101b	67m15.147s	0m0.748s	0m1.292s
centos-7-6-18-10-jupyter-pycharm	centos-7-6-18-10-jupyter-pycharm:latest	232751a49d84	14m53.016s	0m0.745s	0m0.653s
centos-7-6-18-10-mecab-vim	centos-7-6-18-10-mecab-vim:latest	79dd7889c995	9m29.657s	0m0.286s	0m0.295s
ubuntu-19-10-nodejs-mysql-vim	ubuntu-19-10-nodejs-mysql-vim:latest	f81fc8637587	21m43.413s	0m0.800s	0m0.859s
ubuntu-19-10-python-mysql-vim	ubuntu-19-10-python-mysql-vim:latest	380b047d2f15	59m38.094s	0m0.647s	0m1.150s
ubuntu-18-04-c-cpp-kdevelop	ubuntu-18-04-c-cpp-kdevelop:latest	89f0e912112e	15m30.695s	0m1.158s	0m0.989s
ubuntu-19-10-nim-kdevelop	ubuntu-19-10-nim-kdevelop:latest	ad06266e9751	25m13.615s	0m2.652s	0m2.658s
ubuntu-19-10-dbus-vim	ubuntu-19-10-vim:latest	8886da422723	58m12.597s	0m0.600s	0m0.919s
ubuntu-19-10-groonga-vim	ubuntu-19-10-groonga-vim:latest	345a4951701b	103m40.651s	0m0.584s	0m0.864s
ubuntu-19-10-c-cpp-kdevelop	ubuntu-19-10-c-cpp-kdevelop:latest	50b5a87c5776	21m49.077s	0m1.350s	0m1.481s
ubuntu-18-04-vim	ubuntu-18-04-vim:latest	67e1cbab2c62	51m5.567s	0m0.498s	0m0.815s
centos-7-6-18-10-ruby-vscode	centos-7-6-18-10-ruby-vscode:latest	8c395b9d2da0	16m51.725s	0m0.758s	0m0.779s
centos-7-6-18-10-java-maven-sqlite3-dbeaver	centos-7-6-18-10-java-maven-dbeaver-vim:latest	658c50dc6d97	59m2.052s	0m0.804s	0m1.074s
centos-7-6-18-10-shiny-rstudio	centos-7-6-18-10-shiny-rstudio:latest	c36b9f76a832	30m16.950s	0m0.541s	0m0.632s
ubuntu-18-04-mysql-mysql_workbench	ubuntu-19-10-mysql-workbench:latest	28f8bd44101b	67m15.147s	0m0.748s	0m1.292s
centos-7-6-18-10-postgres-perl-dbeaver	centos-7-6-18-10-postgres-perl-dbeaver:latest	099d8de544d0	16m22.730s	0m0.666s	0m0.782s
ubuntu-16-04-vim	ubuntu-16-04-vim:latest	b057a62163a2	79m19.076s	0m0.589s	0m1.053s
ubuntu-16-04-mysql-mroonga-vim	ubuntu-16-04-mysql-mroonga-vim:latest	42980e13debd	20m25.738s	0m0.745s	0m0.831s
