dir-name	container-name	image-id	real	sys	user
ubuntu-18-04-postgres-pgroonga-vim	command	line	49m53.084s	0m0.380s	0m0.440s
ubuntu-19-10-mysql-mysql_workbench	ubuntu-19-10-mysql-workbench:latest	28f8bd44101b	67m15.147s	0m0.748s	0m1.292s
centos-7-6-18-10-apache-vim	command	line	13m44.351s	0m0.160s	0m0.210s
centos-7-6-18-10-egison-vim	index-pack	command	46m35.748s	0m0.073s	0m0.264s
centos-7-6-18-10-anaconda-vim	index-pack	command	42m39.788s	0m0.074s	0m0.231s
ubuntu-19-10-keyboard-locale	ubuntu-19-10-keyboard-locale:latest	f0f6f4643e20	111m11.618s	0m0.307s	0m0.540s
centos-7-6-18-10-python-sqlite3-pycharm	centos-7-6-18-10-python-sqlite3-pycharm:latest	80a0ab30dbc1	14m49.362s	0m0.743s	0m0.624s
ubuntu-19-10-vim	ubuntu-19-10-vim:latest	8886da422723	58m12.597s	0m0.600s	0m0.919s
centos-7-6-18-10-nodejs-vim	centos-7-6-18-10-nodejs-vim:latest	4bb3a84bf1c4	12m15.057s	0m0.384s	0m0.467s
ubuntu-19-10-postgres-pgroonga-vim	command	line	12m5.589s	0m0.075s	0m0.075s
centos-7-6-18-10-r-rstudio	index-pack	command	44m16.419s	0m0.127s	0m0.233s
ubuntu-16-04-sqlserver-dbeaver	http://ftp.jaist.ac.jp/pub/Linux/ubuntu	http://ftp.jaist.ac.jp/pub/Linux/ubuntu	http://ftp.jaist.ac.jp/pub/Linux/ubuntu	http://ftp.jaist.ac.jp/pub/Linux/ubuntu	http://ftp.jaist.ac.jp/pub/Linux/ubuntu	http://ftp.jaist.ac.jp/pub/Linux/ubuntu
centos-7-6-18-10-go-vscode	index-pack	command	43m19.281s	0m0.185s	0m0.205s
centos-7-6-18-10-nginx-vim	centos-7-6-18-10-nginx-vim:latest	12a6099f03bf	84m59.137s	0m0.570s	0m0.672s
centos-7-6-18-10-racket-drracket	index-pack	command	45m22.901s	0m0.163s	0m0.231s
centos-7-6-18-10-oracle-dbeaver	failed:	8/67	143m33.917s	0m0.513s	0m0.530s
centos-7-6-18-10-sqlite3-vim	centos-7-6-18-10-sqlite3-vim:latest	070f80f2f3b2	117m34.769s	0m0.627s	0m0.807s
centos-7-6-18-10-groonga-vim	centos-7-6-18-10-groonga-vim:latest	6b463aeba7e5	77m33.170s	0m0.217s	0m0.409s
centos-7-6-18-10-apache-github-oauth-gron-vim	command	line	13m34.341s	0m0.155s	0m0.229s
centos-7-6-18-10-mecab-java-vim	01-log	command	9m54.919s	0m0.291s	0m0.299s
centos-7-6-18-10-vim	centos-7-6-18-10-vim:latest	ab1b4e4c8665	9m45.389s	0m0.141s	0m0.188s
centos-7-6-18-10-nodejs-nuxtjs-vscode	failed:	27/39	11m32.519s	0m0.351s	0m0.423s
ubuntu-18-04-fcitx_mozc-vim	ubuntu-18-04-vim:latest	67e1cbab2c62	51m5.567s	0m0.498s	0m0.815s
centos-7-6-18-10-postgres-dbeaver	command	could	3m49.517s	0m0.063s	0m0.040s
centos-7-6-18-10-apache-qiita-oauth-gron-vim	command	line	13m44.530s	0m0.190s	0m0.189s
ubuntu-19-10-java-apache_solr-vim	ubuntu-19-10-java-apache-solr-vim:latest	9bc90dbe3be0	17m32.783s	0m0.276s	0m0.392s
centos-7-6-18-10-mysql-dbeaver	command	could	1m34.986s	0m0.029s	0m0.046s
ubuntu-18-04-python-django-pycharm	failed:	29/39	12m57.993s	0m0.499s	0m0.467s
ubuntu-19-10-mysql-dbeaver	ubuntu-19-10-mysql-workbench:latest	28f8bd44101b	67m15.147s	0m0.748s	0m1.292s
centos-7-6-18-10-fluentd-nginx-vim	command	01-log	73m33.285s	0m0.109s	0m0.445s
ubuntu-16-04-postgres-python-vim	command	01-log	133m29.107s	0m0.531s	0m1.104s
ubuntu-19-10-gradle-doma-vim	failed:	24/30	142m56.385s	0m0.604s	0m1.174s
centos-7-6-18-10-jupyter-pycharm	centos-7-6-18-10-jupyter-pycharm:latest	232751a49d84	14m53.016s	0m0.745s	0m0.653s
ubuntu-18-04-aws-workspaces-vscode	index-pack	command	42m52.087s	0m0.085s	0m0.342s
centos-7-6-18-10-mecab-vim	centos-7-6-18-10-mecab-vim:latest	79dd7889c995	9m29.657s	0m0.286s	0m0.295s
centos-7-6-18-10-chromium-vscode	index-pack	command	38m39.404s	0m0.061s	0m0.292s
ubuntu-19-10-nodejs-mysql-vim	ubuntu-19-10-nodejs-mysql-vim:latest	f81fc8637587	21m43.413s	0m0.800s	0m0.859s
ubuntu-18-04-perl-vscode	failed:	30/41	15m34.981s	0m0.444s	0m0.540s
ubuntu-19-10-c-cpp-vscode	failed:	20/28	143m11.765s	0m0.834s	0m0.967s
centos-7-7-19-08-usb-rsync	response	build	0m0.232s	0m0.026s	0m0.033s
ubuntu-19-10-python-mysql-vim	ubuntu-19-10-python-mysql-vim:latest	380b047d2f15	59m38.094s	0m0.647s	0m1.150s
ubuntu-18-04-c-cpp-kdevelop	ubuntu-18-04-c-cpp-kdevelop:latest	89f0e912112e	15m30.695s	0m1.158s	0m0.989s
centos-7-6-18-10-ghc-haskell-vim	command	11m6.684s	0m0.438s	Error	0m0.520s
ubuntu-19-10-nim-kdevelop	ubuntu-19-10-nim-kdevelop:latest	ad06266e9751	25m13.615s	0m2.652s	0m2.658s
centos-7-6-18-10-nodejs-vscode	index-pack	command	28m20.046s	0m0.047s	0m0.224s
centos-7-6-18-10-php-vscode	index-pack	command	28m3.881s	0m0.136s	0m0.149s
ubuntu-19-10-dbus-vim	ubuntu-19-10-vim:latest	8886da422723	58m12.597s	0m0.600s	0m0.919s
centos-7-6-18-10-php-komodo	failed:	24/32	101m17.661s	0m0.569s	0m0.985s
centos-7-6-18-10-apache-pocket-oauth-vim	command	line	13m22.394s	0m0.177s	0m0.208s
centos-7-6-18-10-apache-twitter-oauth-vim	command	could	0m37.031s	0m0.040s	0m0.033s
ubuntu-19-10-pyqt-pycharm	failed:	21/29	142m5.895s	0m0.711s	0m1.366s
centos-7-6-18-10-python-pycharm	command	could	26m28.725s	0m0.035s	0m0.206s
centos-7-6-18-10-elasticsearch-kibana-java-dbeaver	command	could	9m33.083s	0m0.030s	0m0.100s
centos-7-6-18-10-java-gradle-idea	failed:	27/36	19m5.542s	0m0.372s	0m0.366s
centos-7-6-18-10-java-mysql-mysql_workbench	command	could	1m34.986s	0m0.029s	0m0.046s
centos-7-6-18-10-x	command	Nothing	66m7.514s	0m0.183s	0m0.549s
centos-7-6-18-10-postgres-tclsh-vim	command	could	3m49.295s	0m0.065s	0m0.052s
ubuntu-19-10-groonga-vim	ubuntu-19-10-groonga-vim:latest	345a4951701b	103m40.651s	0m0.584s	0m0.864s
